customer_id,first_name,last_name,email,signup_date,country
CUST1000,Danielle,Smith,gabrieltucker@hancock.com,2024-05-24,Pitcairn Islands
CUST1001,Angel,Le,gallowayjoseph@yahoo.com,2024-12-26,Dominican Republic
CUST1002,Joshua,Maldonado,uhorton@hotmail.com,2025-04-05,Luxembourg
CUST1003,Jeffrey,Herrera,jamesrobinson@gmail.com,2025-04-27,United States Minor Outlying Islands
CUST1004,Jill,Adams,brian97@calhoun.net,2024-12-17,Mozambique
CUST1005,Erica,Davidson,caseyjones@powell.com,2023-11-25,Cambodia
CUST1006,Patricia,Rodriguez,barnesbrandy@stewart.com,2024-08-17,Djibouti
CUST1007,Christopher,Graham,randy47@hickman-walls.com,2023-08-27,Kyrgyz Republic
CUST1008,Robert,Chavez,jonesjason@yahoo.com,2023-11-05,Northern Mariana Islands
CUST1009,Anthony,Mckay,nicole35@moore-bass.com,2024-08-23,Equatorial Guinea
CUST1010,Jeffery,Liu,sarah12@wilson-rodriguez.net,2024-10-30,Kuwait
CUST1011,William,Baker,juan35@watts.net,2024-04-12,Equatorial Guinea
CUST1012,Anthony,Mason,rebecca01@hotmail.com,2025-06-04,Papua New Guinea
CUST1013,James,White,bradley52@hotmail.com,2023-10-15,Algeria
CUST1014,Debra,Gaines,joycearnold@yahoo.com,2025-06-08,United Arab Emirates
CUST1015,Amy,Harrell,jonesnicole@gardner.org,2025-05-16,Spain
CUST1016,Jeffrey,Evans,tanderson@nolan-flynn.com,2024-07-05,Lao People's Democratic Republic
CUST1017,Bridget,Fowler,evelynestrada@yahoo.com,2023-10-15,United Arab Emirates
CUST1018,Lisa,Lynch,sarayoung@gmail.com,2024-09-10,France
CUST1019,Adam,Hernandez,vjohnson@patton-jenkins.com,2025-07-06,Philippines
CUST1020,Linda,Farmer,kristinrodriguez@gmail.com,2024-07-18,Mauritius
CUST1021,Helen,Ryan,jamessellers@yahoo.com,2023-08-10,Cayman Islands
CUST1022,Matthew,Osborne,jeffreykeller@yahoo.com,2025-02-10,Barbados
CUST1023,Eric,Moreno,michelle45@hotmail.com,2023-11-18,Kenya
CUST1024,Susan,Smith,sheila14@gmail.com,2024-06-12,Western Sahara
CUST1025,Matthew,Nguyen,rodriguezryan@hotmail.com,2025-06-05,Guatemala
CUST1026,Christopher,Smith,gobrien@gmail.com,2024-12-19,Myanmar
CUST1027,Colin,Hickman,jonathanfletcher@gmail.com,2023-11-26,French Southern Territories
CUST1028,Melanie,Koch,ryan59@alvarado-martinez.com,2023-09-26,Northern Mariana Islands
CUST1029,Cassandra,Decker,snguyen@yahoo.com,2024-07-28,Jamaica
CUST1030,Lindsay,Parker,robertbentley@adkins.biz,2025-03-28,Portugal
CUST1031,Jessica,Brown,justin69@pena.com,2024-02-20,El Salvador
CUST1032,Amanda,Humphrey,donnacampbell@hotmail.com,2024-04-17,Korea
CUST1033,Teresa,Arroyo,cardenaskaren@hotmail.com,2024-11-25,Tanzania
CUST1034,Nicholas,Miller,lindsayhernandez@gmail.com,2025-01-18,Gabon
CUST1035,Andrea,Tucker,xcarr@gibson.org,2024-06-02,Congo
CUST1036,Maria,Jones,psnyder@douglas.com,2024-12-15,Hungary
CUST1037,Christine,Hodges,gregoryrubio@hotmail.com,2023-09-30,Timor-Leste
CUST1038,Michelle,Cannon,grantsamantha@gmail.com,2025-05-21,Liberia
CUST1039,Barbara,Anderson,lauriecontreras@hotmail.com,2024-04-10,Botswana
CUST1040,Janet,Alvarez,usalazar@hotmail.com,2025-05-22,Dominica
CUST1041,Brandon,Pierce,vmerritt@yahoo.com,2025-01-03,Hong Kong
CUST1042,Jeremy,Baker,karen48@yahoo.com,2025-05-27,Montenegro
CUST1043,Keith,Brennan,scott43@rogers-orozco.com,2024-09-16,Guinea-Bissau
CUST1044,Christopher,Henderson,jessebenson@lewis.info,2024-05-20,Montserrat
CUST1045,Jesse,Lewis,clarkrobert@hotmail.com,2024-03-31,French Polynesia
CUST1046,Craig,Ryan,wwoods@molina-castaneda.biz,2024-11-27,Reunion
CUST1047,Joshua,Blair,brobinson@johnson-rogers.biz,2025-02-07,French Polynesia
CUST1048,Cynthia,Harris,ncalhoun@johnson.com,2025-06-18,Angola
CUST1049,Michael,Collins,dtaylor@williams.com,2025-03-10,Switzerland
CUST1050,Mitchell,Carney,wmurphy@ramirez-bean.biz,2024-08-12,Palestinian Territory
CUST1051,Jason,Santos,ruizkaitlyn@gmail.com,2025-06-06,Indonesia
CUST1052,Joseph,Kim,debraharrington@hotmail.com,2024-09-22,Falkland Islands (Malvinas)
CUST1053,Sharon,Holmes,herringjames@howell.com,2023-08-26,Algeria
CUST1054,Deborah,Martinez,elliottjeffery@hotmail.com,2024-11-20,Monaco
CUST1055,Chelsea,Walker,gary91@gmail.com,2023-09-21,Tonga
CUST1056,George,Morgan,lanesarah@hotmail.com,2024-01-28,Poland
CUST1057,Jessica,Chapman,mdavid@gmail.com,2024-12-01,Slovakia (Slovak Republic)
CUST1058,Frank,Hall,terrykevin@burke.com,2025-01-11,Samoa
CUST1059,Noah,Robinson,estanley@hotmail.com,2025-07-14,Australia
CUST1060,Veronica,Jones,atkinsonlynn@gmail.com,2024-03-09,United States Minor Outlying Islands
CUST1061,Danielle,Welch,cynthia72@yahoo.com,2024-01-22,Netherlands
CUST1062,Angela,Perez,christina87@graham-simon.com,2025-03-01,Samoa
CUST1063,Gabrielle,Whitehead,mariahmiller@yahoo.com,2023-10-08,Luxembourg
